"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 22 09:14:09 GMT 2021","Mon Feb 22 09:14:16 GMT 2021","7574","","Подписки","","Подписки","Пользователь может создать автоплатёж","Пользователь может создать автоплатёж",""
"passed","Mon Feb 22 09:14:16 GMT 2021","Mon Feb 22 09:14:21 GMT 2021","4574","","Счета","","Счета","Пользователь может открыть счёт","Пользователь может открыть счёт",""
"passed","Mon Feb 22 09:14:27 GMT 2021","Mon Feb 22 09:14:32 GMT 2021","5670","","Кредиты","","Кредиты","Пользователь может получить кредит","Пользователь может получить кредит",""
"passed","Mon Feb 22 09:14:21 GMT 2021","Mon Feb 22 09:14:27 GMT 2021","5919","","Счета","","Счета","Пользователь может закрыть счёт","Пользователь может закрыть счёт",""
"passed","Mon Feb 22 09:13:57 GMT 2021","Mon Feb 22 09:14:03 GMT 2021","6332","","Карты","","Карты","Пользователь может заблокировать карту","Пользователь может заблокировать карту",""
"skipped","Mon Feb 22 09:14:33 GMT 2021","Mon Feb 22 09:14:33 GMT 2021","0","","Авторизация","","Авторизация","Пользователь может авторизоваться в системе","Пользователь может авторизоваться в системе",""
"failed","Mon Feb 22 09:13:23 GMT 2021","Mon Feb 22 09:13:57 GMT 2021","34535","","Карты","","Карты","Пользователь может добавить карту другого банка","Пользователь может добавить карту другого банка",""
"passed","Mon Feb 22 09:14:03 GMT 2021","Mon Feb 22 09:14:09 GMT 2021","5142","","Подписки","","Подписки","Пользователь может создать подписку на оплату штрафов","Пользователь может создать подписку на оплату штрафов",""
"passed","Mon Feb 22 09:12:59 GMT 2021","Mon Feb 22 09:13:23 GMT 2021","23491","","Карты","","Карты","Пользователь может оформить новую карту","Пользователь может оформить новую карту",""
"passed","Mon Feb 22 09:12:53 GMT 2021","Mon Feb 22 09:12:59 GMT 2021","5808","","Вклады","","Вклады","Пользователь может открыть вклад","Пользователь может открыть вклад",""
